Unique ID,Leaf collected,Indumentum,Flower colour,Purple flushed,Node,Flower date,Height,Corolla size,Teeth,Branches,Leaf length,Internode length,Cauline ratio,Aborted node,Leaf circularity index,Capsule length,Capsule width,Calyx length,Calyx ratio,Notes
A765,0,1,W,1,10,16/07/2018,64.3,5.8,5,1,7.2,8.6,1.194444444,,,,,,,
A804,1,1,W,1,9,16/07/2018,45.3,5.6,4,0,5.9,7.7,1.305084746,,,,,,,
A1299,0,1,W,0,9,16/07/2018,71.9,5.7,5,2,7.7,10.5,1.363636364,,,,,,,
A532,0,1,V,1,10,17/07/2018,44,7.4,4,0,5.3,5.6,1.056603774,,,,,,,
B651,1,1,W,0,10,17/07/2018,28.1,8,4,2,4.9,3.1,0.632653061,,,,,,,
A2000,0,0,V,1,5,18/07/2018,15.5,5.4,2,0,1.9,3.4,1.789473684,,,,,,,
A1077,0,0,V,1,8,18/07/2018,32.3,5.2,2,0,1.7,3.5,2.058823529,7,,,,,,
A1452,0,0,W,1,7,18/07/2018,51.3,5.8,3,0,4.6,12.6,2.739130435,,,,,,,
A953,1,1,W,0,8,18/07/2018,18.2,6.3,4,0,5,2.3,0.46,,,,,,,
B672,1,1,W,0,9,18/07/2018,37.7,6.8,4,0,5.7,6,1.052631579,,,,,,,
B311,1,1,W,0,9,18/07/2018,30,6.9,3,0,3.6,1.6,0.444444444,,,,,,,
B673,1,1,W,0,10,17/07/2018,64.3,8.4,3,0,4.6,3.9,0.847826087,,,,,,,
A869,0,1,W,0,8,17/07/2018,31.1,7.3,3,2,6.2,4.2,0.677419355,,,,,,,
B1207,1,1,W,0,9,18/07/2018,25.3,7.9,4,3,5.6,3.1,0.553571429,,,,,,,
B648,1,1,W,0,8,17/07/2018,19,7.1,5,1,6,2.1,0.35,,,,,,,
A1481,0,0,W,1,7,14/07/2018,52.2,5.1,2,3,3.4,9.9,2.911764706,,,,,,,
B643,1,1,W,0,10,18/07/2018,27.3,5.6,3,1,4.8,3.8,0.791666667,,,,,,,
A261,0,0,W,1,8,18/07/2018,14.1,5.6,2,0,2.6,2.7,1.038461538,,,,,,,
B647,1,1,W,0,8,17/07/2018,24.1,8.1,4,2,6.1,2.2,0.360655738,,,,,,,
B1223,1,1,W,0,7,18/07/2018,13.9,6.5,4,0,5.6,1.3,0.232142857,,,,,,,
A996,0,1,W,0,7,17/07/2018,16.9,7.2,4,3,4.7,0.9,0.191489362,,,,,,,
A240,0,0,V,0,7,17/07/2018,35.8,5.6,2,1,4.6,9.6,2.086956522,,,,,,,
A81,1,1,W,0,10,17/07/2018,23.8,7.6,3,0,5.2,2.7,0.519230769,,,,,,,
B1258,1,1,W,0,8,17/07/2018,32.6,7.6,3,0,4.6,4.8,1.043478261,,,,,,,
A258,0,0,W,1,8,18/07/2018,20.3,4.7,2,0,2.3,4.6,2,,,,,,,
