"","Germ_date","Trans_date","Unique_ID","Host_code","Population","Euphrasia_sp","Leaf collected","Indumentum","Flower colour","Purple flushed","Node","Flower date","Height","Corolla size","Teeth","Branches","Leaf length","Internode length","Cauline ratio","Euphrasia_sp2","Population2"
"386","25/04/2018","02/05/2018","A1697","HPU","M1768","Euphrasia micrantha",0,0,"V","1","7",2018-07-12,26.3,"5.5","2","0","3","5.1","1.7","Euphrasia micrantha","M1768"
"387","11/04/2018","23/04/2018","A365","LPE","T1761","Euphrasia vigursii",0,1,"W","1","10",2018-07-11,55.4,"4.9","6","1","7.4","5.9","0.797297297","Euphrasia tetraquetra","T1761"
"388","09/04/2018","19/04/2018","A100","DFL","M1769","Euphrasia micrantha",0,0,"W","1","8",2018-07-07,40.5,"4.9","2","0","3.1","10.7","3.451612903","Euphrasia micrantha","M1769"
"389","13/04/2018","23/04/2018","A563","LPE","A1763","Euphrasia anglica",0,1,"W","0","7",2018-07-11,24.1,"8.6","4","2","6.4","2.7","0.421875","Euphrasia anglica","A1766"
"390","17/04/2018","26/04/2018","A1044","ACU","M1768","Euphrasia micrantha",0,0,"W","1","6",2018-07-12,41.3,"5.8","2","0","2.7","6.7","2.481481481","Euphrasia micrantha","M1768"
"391","17/04/2018","26/04/2018","B1180","PLA","M1787","Euphrasia montana",1,1,"W","0","8",2018-07-12,31,"7.6","3","0","4.9","7.5","1.530612245","Euphrasia montana","M1787"
"392","13/04/2018","24/04/2018","B670","PLA","R1762","Euphrasia rostkoviana",1,1,"W","0","9",2018-07-12,21.9,"5","3","0","3.8","2","0.526315789","Euphrasia rostkoviana","R1762"
"393","25/04/2018","02/05/2018","A1743","LCO","T1761","Euphrasia vigursii",0,1,"W","0","10",2018-07-13,93,"6.5","6","4","8.9","10.8","1.213483146","Euphrasia tetraquetra","T1761"
"394","17/04/2018","26/04/2018","A762","LPE","T1761","Euphrasia vigursii",0,1,"W","0","8",2018-07-14,36.6,"6","4","0","7.2","7.9","1.097222222","Euphrasia tetraquetra","T1761"
"395","10/04/2018","19/04/2018","A209","LCO","A1763","Euphrasia anglica",0,1,"W","0","9",2018-07-13,19.4,"7.6","3","0","3.8","0.9","0.236842105","Euphrasia anglica","A1766"
"396","11/04/2018","23/04/2018","A377","LCO","T1761","Euphrasia vigursii",0,1,"W","0","9",2018-07-13,68.3,"6.7","5","6","11.6","10.3","0.887931034","Euphrasia tetraquetra","T1761"
"397","11/04/2018","23/04/2018","A392","PLA","T1761","Euphrasia vigursii",1,1,"W","1","11",2018-07-14,44.5,"5.8","5","0","5.5","3.5","0.636363636","Euphrasia tetraquetra","T1761"
"398","11/04/2018","23/04/2018","A370","LPE","T1761","Euphrasia vigursii",0,1,"W","1","10",2018-07-13,67.2,"6.6","5","1","6","11.5","1.916666667","Euphrasia tetraquetra","T1761"
"399","17/04/2018","26/04/2018","A716","ACU","T1761","Euphrasia vigursii",0,1,"W","1","9",2018-07-12,43.1,"6.4","5","0","6.2","6.2","1","Euphrasia tetraquetra","T1761"
"400","17/04/2018","26/04/2018","B1257","PLA","R1762","Euphrasia rostkoviana",1,1,"W","0","7",2018-07-14,26.5,"9.7","3","0","4.7","3.3","0.70212766","Euphrasia rostkoviana","R1762"
"401","09/04/2018","19/04/2018","A91","ACU","M1769","Euphrasia micrantha",0,0,"W","1","6",2018-07-14,26.1,"5.3","2","0","2.8","8.7","3.107142857","Euphrasia micrantha","M1769"
"402","10/04/2018","19/04/2018","A211","PLA","A1763","Euphrasia anglica",1,1,"W","0","9",2018-07-14,14.3,"8.2","3","0","5.4","1.2","0.222222222","Euphrasia anglica","A1766"
"403","03/05/2018","10/05/2018","A1960","VCH","M1768","Euphrasia micrantha",0,0,"V","0","7",2018-07-14,56.1,"6.5","4","3","5.6","5.6","1","Euphrasia micrantha","M1768"
"404","11/04/2018","23/04/2018","A447","FOV","M1769","Euphrasia micrantha",0,0,"W","1","10",2018-07-15,37.8,"4.3","2","0","3.1","5.3","1.709677419","Euphrasia micrantha","M1769"
"405","17/04/2018","26/04/2018","A768","LPE","T1761","Euphrasia vigursii",0,1,"W","1","9",2018-07-13,47.8,"6.2","5","2","7.6","7","0.921052632","Euphrasia tetraquetra","T1761"
"406","17/04/2018","26/04/2018","A1100","ACU","M1769","Euphrasia micrantha",0,0,"V","1","8",2018-07-14,15.2,"5.3","1","0","1.6","1.8","1.125","Euphrasia micrantha","M1769"
"407","20/04/2018","01/05/2018","B1614","HLA","M1787","Euphrasia montana",1,1,"W","0","6",2018-07-13,33,"9","3","0","5.3","8.8","1.660377358","Euphrasia montana","M1787"
"408","09/04/2018","19/04/2018","B136","PLA","R1764","Euphrasia rostkoviana",1,1,"W","0","8",2018-07-14,23.9,"8.2","4","0","7.3","2","0.273972603","Euphrasia rostkoviana","R1764"
